family_id,dataset,image_id,file_name,category_id,category_name,prompt,is_prompt_absent,gt_count,candidate_idx,score,x1,y1,x2,y2,max_iou,is_tp,is_null,evalue,split
openimages:1:465:1,openimages,1,0001eeaf4aed83f9.jpg,465,Garden Asparagus,Garden Asparagus,True,0,0,0.24636059999465942,19.2934,29.7888,987.6725,359.2374,0.0,False,True,9.997826086956522,test
openimages:1:465:1,openimages,1,0001eeaf4aed83f9.jpg,465,Garden Asparagus,Garden Asparagus,True,0,1,0.1664121448993683,147.2062,387.1352,663.0985,445.9689,0.0,False,True,0.0,test
openimages:1:465:1,openimages,1,0001eeaf4aed83f9.jpg,465,Garden Asparagus,Garden Asparagus,True,0,2,0.1372169554233551,2.5148,247.2825,1021.9219,445.5881,0.0,False,True,0.0,test
openimages:1:465:1,openimages,1,0001eeaf4aed83f9.jpg,465,Garden Asparagus,Garden Asparagus,True,0,3,0.10134895145893097,223.148,30.1623,898.3846,357.8391,0.0,False,True,0.0,test
openimages:1:465:1,openimages,1,0001eeaf4aed83f9.jpg,465,Garden Asparagus,Garden Asparagus,True,0,4,0.08358148485422134,2.9453,160.9587,1020.8831,443.3716,0.0,False,True,0.0,test
openimages:1:465:1,openimages,1,0001eeaf4aed83f9.jpg,465,Garden Asparagus,Garden Asparagus,True,0,5,0.07083664834499359,423.2166,144.9442,759.4937,210.1143,0.0,False,True,0.0,test
openimages:1:465:1,openimages,1,0001eeaf4aed83f9.jpg,465,Garden Asparagus,Garden Asparagus,True,0,6,0.0628938227891922,18.7216,147.6652,267.6336,275.9121,0.0,False,True,0.0,test
openimages:1:465:1,openimages,1,0001eeaf4aed83f9.jpg,465,Garden Asparagus,Garden Asparagus,True,0,7,0.06229478493332863,20.3775,143.1337,983.1345,357.5043,0.0,False,True,0.0,test
openimages:2:231:3,openimages,2,0004886b7d043cfd.jpg,231,Bathtub,Bathtub,True,0,0,0.2126329243183136,0.4508,-0.3379,1024.1881,1023.5184,0.0,False,True,0.0,test
openimages:2:231:3,openimages,2,0004886b7d043cfd.jpg,231,Bathtub,Bathtub,True,0,1,0.1539381891489029,302.6968,51.0045,802.8971,832.7055,0.0,False,True,0.0,test
openimages:2:231:3,openimages,2,0004886b7d043cfd.jpg,231,Bathtub,Bathtub,True,0,2,0.11435316503047943,296.1107,50.1222,1018.6101,834.5693,0.0,False,True,0.0,test
openimages:2:231:3,openimages,2,0004886b7d043cfd.jpg,231,Bathtub,Bathtub,True,0,3,0.09837370365858078,38.4424,0.0954,364.3293,322.4156,0.0,False,True,0.0,test
openimages:2:231:3,openimages,2,0004886b7d043cfd.jpg,231,Bathtub,Bathtub,True,0,4,0.09047704190015793,96.8371,421.7441,359.4332,698.4508,0.0,False,True,0.0,test
openimages:2:231:3,openimages,2,0004886b7d043cfd.jpg,231,Bathtub,Bathtub,True,0,5,0.062299568206071854,1.3397,628.4329,387.6375,925.1771,0.0,False,True,0.0,test
